d,share,collapse,catch
0.015,0.0,0.25,0.024096385542168676
0.0159,0.0,0.3333333333333333,0.024096385542168676
0.0167,0.0,0.3333333333333333,0.03614457831325301
0.0176,0.0,0.1388888888888889,0.04216867469879518
0.0184,0.0,0.13157894736842105,0.04216867469879518
0.0193,0.0,0.11627906976744186,0.04216867469879518
0.0202,0.0,0.14583333333333334,0.04216867469879518
0.021,0.0,0.1724137931034483,0.05421686746987952
0.0219,0.0,0.18571428571428572,0.06626506024096386
0.0227,0.0,0.3108108108108108,0.07228915662650602
0.0236,0.0,0.29347826086956524,0.10240963855421686
0.0244,0.0,0.28,0.10240963855421686
0.0253,0.0,0.016666666666666666,0.12048192771084337
0.0262,0.0,0.013986013986013986,0.1566265060240964
0.027,0.0,0.009478672985781991,0.21084337349397592
0.0279,0.045454545454545456,0.058333333333333334,0.2289156626506024
0.0287,0.08,0.05860805860805861,0.24096385542168675
0.0296,0.06666666666666667,0.05405405405405406,0.27710843373493976
0.0305,0.0625,0.056555269922879174,0.3132530120481928
0.0313,0.08571428571428572,0.06378132118451026,0.3433734939759036
0.0322,0.10810810810810811,0.06041666666666667,0.35542168674698793
0.033,0.17073170731707318,0.0616822429906542,0.39759036144578314
0.0339,0.16279069767441862,0.06076388888888889,0.39759036144578314
0.0347,0.15217391304347827,0.06190476190476191,0.41566265060240964
0.0356,0.11764705882352941,0.12834978843441466,0.4397590361445783
0.0365,0.2054794520547945,0.14304291287386217,0.4759036144578313
0.0373,0.2077922077922078,0.16004813477737664,0.4819277108433735
0.0382,0.14792899408284024,0.1751101321585903,0.5120481927710844
0.039,0.2122905027932961,0.15447154471544716,0.5481927710843374
0.0399,0.233502538071066,0.15648148148148147,0.5662650602409639
0.0408,0.24519230769230768,0.15934539190353145,0.5843373493975904
0.0416,0.20833333333333334,0.18408360128617363,0.6024096385542169
0.0425,0.23076923076923078,0.1811263318112633,0.6024096385542169
0.0433,0.25101214574898784,0.18175338560228083,0.6024096385542169
0.0442,0.2558139534883721,0.1818783068783069,0.6144578313253012
0.0451,0.25,0.1835323695788812,0.6204819277108434
0.0459,0.25524475524475526,0.18680023571007662,0.6325301204819277
0.0468,0.2635135135135135,0.18672665916760406,0.6445783132530121
0.0476,0.26973684210526316,0.1869309051955008,0.6445783132530121
0.0485,0.29153605015673983,0.18552497451580022,0.6445783132530121
0.0493,0.3033033033033033,0.18527547537786446,0.6506024096385542
0.0502,0.3063583815028902,0.18106995884773663,0.6686746987951807
0.0511,0.31868131868131866,0.181190681622088,0.6807228915662651
0.0519,0.3209549071618037,0.18144329896907216,0.6807228915662651
0.0528,0.3333333333333333,0.18060985144644254,0.6927710843373494
0.0536,0.34057971014492755,0.18171765573166238,0.7168674698795181
0.0545,0.34660421545667447,0.1775766016713092,0.7349397590361446
0.0554,0.3515981735159817,0.17652892561983471,0.7530120481927711
0.0562,0.352549889135255,0.17658227848101266,0.7530120481927711
0.0571,0.3583690987124464,0.17482727545809554,0.7710843373493976
0.0579,0.3630705394190871,0.17385057471264367,0.7831325301204819
0.0588,0.373015873015873,0.1742715777899945,0.7831325301204819
0.0596,0.37333333333333335,0.17364793213149524,0.7831325301204819
0.0605,0.37962962962962965,0.17401215805471124,0.7951807228915663
0.0614,0.3835125448028674,0.1730815783103365,0.8132530120481928
0.0622,0.3905429071803853,0.17305458768873402,0.8253012048192772
0.0631,0.3983050847457627,0.1712497205454952,0.8253012048192772
0.0639,0.4042904290429043,0.16996132359260852,0.8253012048192772
0.0648,0.4069952305246423,0.16910703237780986,0.8373493975903614
0.0657,0.3582887700534759,0.2886679920477137,0.8433734939759037
0.0665,0.3783783783783784,0.30846153846153845,0.8493975903614458
0.0674,0.3818615751789976,0.3082179132040628,0.8554216867469879
0.0682,0.38569753810082064,0.30197670314154607,0.8614457831325302
0.0691,0.3904109589041096,0.30202140309155767,0.8614457831325302
0.0699,0.3950617283950617,0.3005761316872428,0.8614457831325302
0.0708,0.4407894736842105,0.3321196770618965,0.8734939759036144
0.0717,0.44618215271389144,0.331601466992665,0.8795180722891566
0.0725,0.45216606498194944,0.3312045150750037,0.8855421686746988
0.0734,0.4583333333333333,0.33156536697247707,0.8855421686746988
0.0742,0.4655765920826162,0.3312534664448142,0.8855421686746988
0.0751,0.4726661059714045,0.3295302013422819,0.8855421686746988
0.076,0.4800325998370008,0.32726568551510454,0.9036144578313253
0.0768,0.4811244979919679,0.32722939922237554,0.9036144578313253
0.0777,0.48665620094191525,0.3270790461203244,0.9156626506024096
0.0785,0.49333333333333335,0.35511931350652404,0.9156626506024096
0.0794,0.49817651349380015,0.35583941605839414,0.9156626506024096
0.0803,0.5010799136069114,0.35631929046563193,0.9216867469879518
0.0811,0.5049435028248588,0.3559504577275175,0.927710843373494
0.082,0.5086986778009742,0.35559736594543745,0.927710843373494
0.0828,0.5122615803814714,0.35493387589013226,0.9337349397590361
0.0837,0.5179521276595744,0.3541112752338749,0.9337349397590361
0.0845,0.5218525766470972,0.3538402383927713,0.9397590361445783
0.0854,0.5258455647734525,0.35259038389862096,0.9397590361445783
0.0863,0.5274447949526814,0.3518317011244106,0.9397590361445783
0.0871,0.5310945273631841,0.35297755787241564,0.9397590361445783
0.088,0.5347985347985348,0.35108854659667843,0.9397590361445783
0.0888,0.5362756952841596,0.3506395153147088,0.9397590361445783
0.0897,0.5393325387365911,0.3513779527559055,0.9397590361445783
0.0906,0.5418863503222027,0.3520653218059558,0.9397590361445783
0.0914,0.5437174290677476,0.3512816505157862,0.9397590361445783
0.0923,0.5478905359179019,0.3503471427481498,0.9397590361445783
0.0931,0.5506435366536094,0.3502753385920524,0.9397590361445783
0.094,0.5556780595369349,0.3507701249636733,0.9397590361445783
0.0948,0.4739787353105764,0.4116767532929868,0.9397590361445783
0.0957,0.47845303867403316,0.41230448383733054,0.9457831325301205
0.0966,0.4822501365374113,0.41237113402061853,0.9518072289156626
0.0974,0.4854525862068966,0.4119994678728216,0.9518072289156626
0.0983,0.4898936170212766,0.41233428645697945,0.9578313253012049
0.0991,0.49501835343471423,0.41203821656050954,0.963855421686747
0.1,0.49948453608247423,0.41158118058155496,0.963855421686747
